epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,9270.03,2.00294,3.06751,0.00771,0.80204,0.67354,0.73897,0.40007,1.67838,1.768,0.00897,9.13871e-05,9.13871e-05,9.13871e-05
87,9315.44,1.97938,2.97906,0.00756,0.79646,0.676,0.74091,0.40624,1.65389,1.75129,0.00878,8.16111e-05,8.16111e-05,8.16111e-05
88,9361.08,1.9952,2.91685,0.00733,0.79323,0.68216,0.74416,0.40779,1.64924,1.73793,0.00871,7.24667e-05,7.24667e-05,7.24667e-05
89,9406.15,1.96474,2.88102,0.00735,0.79294,0.67719,0.74561,0.41104,1.63644,1.73292,0.00858,6.3963e-05,6.3963e-05,6.3963e-05
90,9451.42,1.97119,2.90861,0.00727,0.80144,0.67438,0.74484,0.41037,1.63809,1.72684,0.00857,5.61083e-05,5.61083e-05,5.61083e-05
91,9496.88,1.96286,2.90231,0.00736,0.80967,0.67195,0.74742,0.41259,1.63006,1.72123,0.0085,4.89104e-05,4.89104e-05,4.89104e-05
92,9542.05,1.96811,2.87986,0.00723,0.8033,0.67397,0.74644,0.41229,1.63174,1.71951,0.0085,4.23765e-05,4.23765e-05,4.23765e-05
93,9587.19,1.93268,2.86067,0.0072,0.80043,0.67628,0.74653,0.41207,1.63109,1.71471,0.00851,3.65129e-05,3.65129e-05,3.65129e-05
94,9632.34,1.945,2.89231,0.00706,0.8161,0.67021,0.74682,0.41363,1.63066,1.71157,0.00848,3.13254e-05,3.13254e-05,3.13254e-05
95,9678.02,1.9439,2.84959,0.00731,0.80422,0.67814,0.74832,0.41522,1.62585,1.71012,0.00846,2.68192e-05,2.68192e-05,2.68192e-05
96,9723.63,1.94826,2.88966,0.00718,0.80755,0.67789,0.74857,0.41422,1.62833,1.71273,0.00846,2.29987e-05,2.29987e-05,2.29987e-05
97,9769.21,1.93447,2.88599,0.00726,0.81321,0.67513,0.74866,0.415,1.62681,1.70905,0.00843,1.98677e-05,1.98677e-05,1.98677e-05
98,9814.07,1.94562,2.8758,0.00712,0.81951,0.67401,0.74869,0.41549,1.62432,1.70594,0.0084,1.74293e-05,1.74293e-05,1.74293e-05
99,9859.64,1.94108,2.84949,0.00718,0.81166,0.67591,0.7488,0.41482,1.6266,1.70767,0.00841,1.56858e-05,1.56858e-05,1.56858e-05
100,9904.8,1.93261,2.90413,0.00716,0.81312,0.67632,0.749,0.41596,1.62739,1.70281,0.00842,1.4639e-05,1.4639e-05,1.4639e-05
